# Phase 3 !important inventory — audit/IMPORTANT-INVENTORY.tsv
# Generated by scripts/_audit_important.py
# Buckets: C-1 specificity war, C-2 vs !important, C-3 defends nothing, C-4? suspect, C-4 confirmed
#
line	selector	property	value	bucket	competing_rule	proposed_fix
150	.navbar-link, .header__link, h1, h2, h3, h4	font-family	Montserrat, 'Montserrat Fallback', sans-serif	C-2	assets/theme.css.liquid:2192	delete
193	*, *::before, *::after	animation-duration	0.01ms	C-3		delete
194	*, *::before, *::after	animation-iteration-count	1	C-3		delete
195	*, *::before, *::after	transition-duration	0.01ms	C-3		delete
196	*, *::before, *::after	scroll-behavior	auto	C-3		delete
243	.announcement-container	height	auto	C-1	assets/theme.css.liquid:12965	tighten:#section-id
246	.announcement-bar	position	relative	C-1	assets/theme.css.liquid:12901	tighten:#section-id
247	.announcement-bar	background-color	var(--color-header-bg)	C-3		delete
248	.announcement-bar	overflow	hidden	C-4?		manual-review
251	.announcement-bar__shadow	display	none	C-4?		manual-review
257	.announcement-bar--visible .announcement-container	transition	none	C-1	assets/theme.css.liquid:12964	tighten:#section-id
264	html	min-width	0	C-3		delete
315	.section--label h2.rich-text__heading.title	font-size	0.95rem	C-1	assets/theme.css.liquid:3027	tighten:#section-id
316	.section--label h2.rich-text__heading.title	text-transform	uppercase	C-1	assets/theme.css.liquid:15538	tighten:#section-id
317	.section--label h2.rich-text__heading.title	letter-spacing	0.12em	C-1	assets/theme.css.liquid:15542	tighten:#section-id
318	.section--label h2.rich-text__heading.title	font-weight	700	C-1	assets/theme.css.liquid:3023	tighten:#section-id
323	.featured-collection__title.title	font-size	0.95rem	C-1	assets/theme.css.liquid:3027	tighten:#section-id
324	.featured-collection__title.title	text-transform	uppercase	C-1	assets/theme.css.liquid:15538	tighten:#section-id
325	.featured-collection__title.title	letter-spacing	0.12em	C-1	assets/theme.css.liquid:15542	tighten:#section-id
326	.featured-collection__title.title	font-weight	700	C-1	assets/theme.css.liquid:3023	tighten:#section-id
401	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	content	""	C-1	assets/theme.css.liquid:2201	tighten:#section-id
402	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	font-family	Arial, sans-serif	C-2	assets/theme.css.liquid:2192	delete
403	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	display	inline-block	C-2	assets/theme.css.liquid:2202	delete
404	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	position	static	C-1	assets/theme.css.liquid:2204	tighten:#section-id
405	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	right	auto	C-1	assets/theme.css.liquid:7955	tighten:#section-id
406	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	top	auto	C-1	assets/theme.css.liquid:2206	tighten:#section-id
407	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	width	7px	C-3		delete
408	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	height	7px	C-3		delete
409	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	border-right	2px solid currentColor	C-3		delete
410	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	border-bottom	2px solid currentColor	C-3		delete
411	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	border-left	none	C-3		delete
412	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	border-top	none	C-3		delete
413	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	transform	rotate(45deg)	C-1	assets/theme.css.liquid:2207	tighten:#section-id
414	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	margin-left	7px	C-3		delete
415	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	vertical-align	0.1em	C-3		delete
416	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	opacity	0.55	C-4?		manual-review
418	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	pointer-events	none	C-1	assets/theme.css.liquid:2203	tighten:#section-id
423	.navbar-item:hover > .navbar-link:not(.is-arrowless)::after	opacity	1	C-4?		manual-review
428	.navbar-item.is-opened > .navbar-link:not(.is-arrowless)::after	transform	rotate(-135deg)	C-1	assets/theme.css.liquid:2207	tighten:#section-id
429	.navbar-item.is-opened > .navbar-link:not(.is-arrowless)::after	opacity	1	C-4?		manual-review
437	.header__item[data-navlink-handle="shop"] .navbar-link::after	content	""	C-1	assets/theme.css.liquid:2201	tighten:#section-id
438	.header__item[data-navlink-handle="shop"] .navbar-link::after	font-family	Arial, sans-serif	C-2	assets/theme.css.liquid:2192	delete
439	.header__item[data-navlink-handle="shop"] .navbar-link::after	display	inline-block	C-2	assets/theme.css.liquid:2202	delete
440	.header__item[data-navlink-handle="shop"] .navbar-link::after	position	static	C-1	assets/theme.css.liquid:2204	tighten:#section-id
441	.header__item[data-navlink-handle="shop"] .navbar-link::after	right	auto	C-1	assets/theme.css.liquid:9114	tighten:#section-id
442	.header__item[data-navlink-handle="shop"] .navbar-link::after	top	auto	C-1	assets/theme.css.liquid:2206	tighten:#section-id
443	.header__item[data-navlink-handle="shop"] .navbar-link::after	width	7px	C-3		delete
444	.header__item[data-navlink-handle="shop"] .navbar-link::after	height	7px	C-3		delete
445	.header__item[data-navlink-handle="shop"] .navbar-link::after	border-right	2px solid currentColor	C-3		delete
446	.header__item[data-navlink-handle="shop"] .navbar-link::after	border-bottom	2px solid currentColor	C-3		delete
447	.header__item[data-navlink-handle="shop"] .navbar-link::after	border-left	none	C-3		delete
448	.header__item[data-navlink-handle="shop"] .navbar-link::after	border-top	none	C-3		delete
449	.header__item[data-navlink-handle="shop"] .navbar-link::after	transform	rotate(45deg)	C-1	assets/theme.css.liquid:2207	tighten:#section-id
450	.header__item[data-navlink-handle="shop"] .navbar-link::after	margin-left	7px	C-3		delete
451	.header__item[data-navlink-handle="shop"] .navbar-link::after	vertical-align	0.1em	C-3		delete
452	.header__item[data-navlink-handle="shop"] .navbar-link::after	opacity	0.55	C-4?		manual-review
454	.header__item[data-navlink-handle="shop"] .navbar-link::after	pointer-events	none	C-1	assets/theme.css.liquid:2203	tighten:#section-id
458	.header__item[data-navlink-handle="shop"]:hover .navbar-link::after	opacity	1	C-4?		manual-review
463	.dropdown-click--false .navbar-item.has-mega-menu:hover > .navbar-link:not(.is-arrowless)::after, .dropdown-click--false .header__item[data-navlink-handle="shop"]:hover .navbar-link::after	transform	rotate(-135deg)	C-1	assets/theme.css.liquid:2207	tighten:#section-id
464	.dropdown-click--false .navbar-item.has-mega-menu:hover > .navbar-link:not(.is-arrowless)::after, .dropdown-click--false .header__item[data-navlink-handle="shop"]:hover .navbar-link::after	opacity	1	C-4?		manual-review
543	.header-sticky-wrapper:has(#mobile-header)	height	0	C-3		delete
544	.header-sticky-wrapper:has(#mobile-header)	overflow	visible	C-4?		manual-review
553	html body .header	background-color	rgba(18, 18, 18, 0.55)	C-1	assets/theme.css.liquid:14418	tighten:#section-id
