line_start	selector	property_count	important_count	media_query
1	:root	37	0	
120	@font-face	3	0	
132	@font-face	6	0	
145	.navbar-link, .header__link, h1, h2, h3, h4	1	1	
151	.skip-to-content-link	11	0	
170	.skip-to-content-link:focus	1	0	
174	a, button, [role="button"], label, .button, .mobile-menu-link, .mobile-menu__item, .submenu__label	1	0	
189	*, *::before, *::after	4	4	@media (prefers-reduced-motion: reduce)
206	html	1	0	@media (prefers-reduced-motion: no-preference)
210	body	1	0	
218	body.index	1	0	
222	.announcement-bar__container	1	0	
226	.announcement-bar__content	2	0	
234	.announcement-container	1	1	
244	.announcement-bar	3	3	
249	.announcement-bar__shadow	1	1	
252	.announcement-bar--visible .announcement-container	1	1	
258	html	2	1	
266	::-webkit-scrollbar	1	0	
269	h1, h2, h3, h4, h5, h6	1	0	
280	.rich-text h2, .rich-text__title, .image-with-text-overlay h2, .banner__heading, .video__title, .slideshow-classic__preheading h2, .product-app--container h2	2	0	
292	h2.rich-text__heading.title	2	0	
316	.section--label h2.rich-text__heading.title	4	4	
325	.featured-collection__title.title	4	4	
333	.product-block--price .money	2	0	
339	.product-block--size-chart a.product__size-chart	2	0	
345	.footer__container p.footer__heading	2	0	
351	.rich-text__content	3	0	
358	.rich-text__text	3	0	
364	.rich-text__heading.title	3	0	
370	.rich-text__content .rich-text__heading + .rich-text__text	1	0	
375	.navbar-link:not(.is-arrowless)::after, .mobile-menu-link::after	18	17	
425	.navbar-item:hover > .navbar-link:not(.is-arrowless)::after	1	1	
430	.navbar-item.is-opened > .navbar-link:not(.is-arrowless)::after	2	2	
441	.header__item[data-navlink-handle="shop"] .navbar-link::after	18	17	@media (min-width: 799px)
461	.header__item[data-navlink-handle="shop"]:hover .navbar-link::after	1	1	@media (min-width: 799px)
465	.dropdown-click--false .navbar-item.has-mega-menu:hover > .navbar-link:not(.is-arrowless)::after, .dropdown-click--false .header__item[data-navlink-handle="shop"]:hover .navbar-link::after	2	2	@media (min-width: 799px)
472	.select:not(.is-multiple):not(.is-loading):not(.is-arrowless)::after, .age-gate__select-wrapper:not(.is-multiple):not(.is-loading):not(.is-arrowless)::after	15	0	
492	.navbar-link	2	0	
502	.navbar-link:not(.is-arrowless)	1	0	
505	.header__icons	1	0	
515	.header, .mobile-header	2	0	
524	html body .header, html body .mobile-header	1	0	
536	html body .header-sticky-wrapper, html body #mobile-header-sticky-wrapper	1	0	
547	.header-sticky-wrapper:has(#mobile-header)	2	2	@media (max-width: 798px)
552	html body .header	1	1	
560	html body .mobile-header	1	1	
564	html body .header-sticky-wrapper.is-sticky .header	1	1	
569	.header-sticky-wrapper.is-sticky .header__logo, .header-sticky-wrapper.is-sticky .logo__content	2	1	
579	.header-sticky-wrapper.is-sticky .header__brand	2	0	
584	html body #mobile-header-sticky-wrapper.is-sticky .mobile-header, html body .mobile-menu--opened #mobile-header-sticky-wrapper.is-sticky .mobile-header	1	1	
597	#mobile-header	1	0	@media (max-width: 798px)
600	#mobile-header-sticky-wrapper.is-sticky #mobile-header	2	2	@media (max-width: 798px)
605	#mobile-header-sticky-wrapper.is-sticky .mobile-icons .action-area__link, #mobile-header-sticky-wrapper.is-sticky .mobile-icons .header__link, #mobile-header-sticky-wrapper.is-sticky .mobile-icons .header-cart, #mobile-header-sticky-wrapper.is-sticky .mobile-toggle	3	2	@media (max-width: 798px)
615	#mobile-header-sticky-wrapper.is-sticky .mobile-logo	3	2	@media (max-width: 798px)
623	html body .header .navbar-link, html body .header .header__link, html body .mobile-header .navbar-link, html body .mobile-header .header__link	2	0	
633	html body .header .navbar-link:hover, html body .header .header__link:hover, html body .header .navbar-item:hover > .navbar-link, html body .mobile-header .navbar-link:hover, html body .mobile-header .header__link:hover	2	0	
642	html body .header .header__icon, html body .mobile-header .header__icon	2	2	
649	html body .mobile-menu__toggle-icon .icon	2	2	
665	#mobile-header	6	6	@media (max-width: 798px)
675	body.index-json #mobile-header, body.index #mobile-header	3	3	@media (max-width: 798px)
685	body.index-json #mobile-header .header__icon, body.index #mobile-header .header__icon, body.index-json #mobile-header .mobile-menu__toggle-icon .icon, body.index #mobile-header .mobile-menu__toggle-icon .icon	3	3	@media (max-width: 798px)
695	.mobile-header .primary-logo, .mobile-header .mobile-header__logo	2	2	@media (max-width: 798px)
702	.mobile-header .primary-logo img, .mobile-header .mobile-header__logo img	3	3	@media (max-width: 798px)
708	.announcement-bar.is-regular, .announcement-bar.is-small	1	1	@media (max-width: 798px)
717	.announcement-bar .message-header	2	2	@media (max-width: 798px)
721	.video-section .video__title, .video-section .banner__heading, .video__title.banner__heading	4	4	@media (max-width: 798px)
734	.video-section .video__subtitle, .video-section .banner__subheading, .video__subtitle.banner__subheading, .video-section .video__text, .video-section .banner__text	4	4	@media (max-width: 798px)
744	.video-section .buttons	2	2	@media (max-width: 798px)
748	[id*="trust_icon_bar"] .section	2	2	@media (max-width: 798px)
754	[id*="trust_icon_bar"] .icon-bar__block	1	1	@media (max-width: 798px)
757	[id*="trust_icon_bar"] .icon-bar__block .icon, [id*="trust_icon_bar"] .icon-bar__block svg	2	2	@media (max-width: 798px)
762	[id*="trust_icon_bar"] .icon-bar__text	2	2	@media (max-width: 798px)
